pace,shooting,passing,dribbling,defending,physic,overall
72.0,71.0,67.0,70.0,46.0,63.0,69
79.0,46.0,63.0,68.0,66.0,72.0,72
68.0,38.0,54.0,61.0,56.0,63.0,60
78.0,55.0,55.0,60.0,67.0,62.0,65
71.0,48.0,60.0,64.0,57.0,63.0,62
78.0,55.0,65.0,69.0,59.0,49.0,64
71.0,67.0,70.0,68.0,34.0,55.0,70
87.0,62.0,61.0,73.0,37.0,47.0,69
85.0,58.0,56.0,64.0,24.0,61.0,62
70.0,68.0,76.0,76.0,61.0,66.0,76
81.0,51.0,66.0,70.0,66.0,67.0,71
77.0,65.0,59.0,72.0,29.0,58.0,66
54.0,33.0,48.0,44.0,64.0,73.0,63
62.0,65.0,67.0,68.0,59.0,65.0,66
72.0,67.0,48.0,62.0,18.0,58.0,63
53.0,23.0,35.0,33.0,53.0,59.0,53
70.0,57.0,55.0,65.0,32.0,46.0,60
81.0,49.0,53.0,59.0,34.0,55.0,60
62.0,30.0,35.0,40.0,54.0,58.0,54
62.0,62.0,58.0,62.0,52.0,67.0,63
82.0,44.0,53.0,64.0,58.0,64.0,64
65.0,51.0,64.0,70.0,59.0,63.0,67
71.0,51.0,40.0,57.0,21.0,61.0,54
73.0,49.0,63.0,62.0,67.0,66.0,72
76.0,58.0,64.0,64.0,64.0,68.0,68
60.0,52.0,45.0,57.0,19.0,47.0,52
75.0,35.0,47.0,52.0,76.0,74.0,75
52.0,32.0,51.0,57.0,72.0,62.0,69
52.0,47.0,56.0,59.0,63.0,79.0,66
71.0,53.0,61.0,66.0,66.0,74.0,68
72.0,58.0,58.0,68.0,55.0,46.0,64
31.0,29.0,44.0,42.0,70.0,75.0,69
77.0,57.0,58.0,61.0,36.0,52.0,61
71.0,31.0,43.0,53.0,51.0,56.0,55
80.0,66.0,61.0,69.0,32.0,55.0,69
84.0,51.0,58.0,66.0,34.0,53.0,65
68.0,30.0,46.0,52.0,61.0,66.0,62
72.0,29.0,51.0,58.0,58.0,68.0,62
60.0,54.0,64.0,63.0,63.0,60.0,65
47.0,38.0,47.0,52.0,47.0,51.0,49
69.0,63.0,71.0,73.0,48.0,40.0,70
72.0,41.0,50.0,56.0,57.0,58.0,61
51.0,41.0,53.0,54.0,58.0,76.0,62
34.0,45.0,48.0,45.0,68.0,75.0,68
79.0,64.0,66.0,71.0,67.0,81.0,70
75.0,32.0,58.0,65.0,73.0,78.0,73
81.0,61.0,59.0,68.0,22.0,58.0,66
64.0,48.0,61.0,62.0,63.0,68.0,65
75.0,65.0,57.0,65.0,34.0,72.0,66
54.0,22.0,44.0,42.0,65.0,65.0,65
70.0,47.0,48.0,57.0,31.0,38.0,53
73.0,59.0,67.0,74.0,64.0,61.0,71
65.0,50.0,58.0,60.0,49.0,59.0,59
57.0,28.0,41.0,39.0,57.0,66.0,58
79.0,65.0,54.0,69.0,28.0,52.0,65
69.0,52.0,66.0,66.0,71.0,73.0,73
61.0,49.0,44.0,57.0,27.0,56.0,53
85.0,64.0,64.0,73.0,25.0,51.0,70
68.0,26.0,41.0,46.0,55.0,62.0,56
82.0,48.0,65.0,70.0,70.0,67.0,74
76.0,64.0,58.0,69.0,30.0,65.0,65
74.0,65.0,71.0,79.0,72.0,72.0,75
72.0,65.0,56.0,64.0,42.0,73.0,67
66.0,27.0,48.0,58.0,53.0,48.0,58
36.0,67.0,75.0,73.0,80.0,73.0,79
65.0,60.0,66.0,71.0,52.0,44.0,67
90.0,58.0,45.0,58.0,21.0,51.0,59
79.0,25.0,45.0,52.0,55.0,61.0,57
78.0,62.0,58.0,64.0,46.0,64.0,67
75.0,66.0,66.0,72.0,37.0,61.0,68
56.0,34.0,47.0,50.0,64.0,78.0,66
53.0,44.0,56.0,52.0,55.0,62.0,59
77.0,71.0,62.0,72.0,42.0,64.0,71
77.0,58.0,68.0,75.0,68.0,77.0,72
75.0,58.0,59.0,67.0,47.0,65.0,64
84.0,55.0,59.0,71.0,35.0,51.0,67
56.0,28.0,52.0,56.0,63.0,67.0,62
74.0,46.0,72.0,72.0,73.0,68.0,77
82.0,84.0,77.0,87.0,39.0,70.0,84
73.0,44.0,60.0,61.0,63.0,72.0,67
61.0,28.0,37.0,45.0,57.0,67.0,58
69.0,43.0,54.0,62.0,60.0,55.0,63
69.0,42.0,61.0,66.0,72.0,76.0,72
62.0,34.0,44.0,44.0,63.0,60.0,61
63.0,52.0,55.0,62.0,64.0,66.0,64
82.0,68.0,60.0,73.0,33.0,66.0,70
69.0,65.0,69.0,74.0,47.0,73.0,71
78.0,45.0,53.0,61.0,59.0,65.0,63
75.0,48.0,61.0,62.0,65.0,72.0,68
61.0,24.0,33.0,43.0,46.0,53.0,48
72.0,54.0,60.0,63.0,67.0,75.0,69
67.0,63.0,66.0,72.0,63.0,69.0,69
64.0,57.0,51.0,63.0,19.0,55.0,58
70.0,56.0,65.0,68.0,72.0,75.0,73
78.0,49.0,56.0,58.0,53.0,61.0,61
54.0,37.0,50.0,55.0,69.0,66.0,68
67.0,52.0,56.0,63.0,51.0,66.0,60
57.0,33.0,51.0,56.0,60.0,72.0,62
70.0,69.0,53.0,64.0,30.0,80.0,67
72.0,59.0,49.0,55.0,30.0,62.0,60
46.0,24.0,41.0,42.0,64.0,73.0,64
64.0,54.0,62.0,56.0,68.0,71.0,69
66.0,57.0,60.0,63.0,63.0,73.0,65
78.0,64.0,63.0,71.0,34.0,60.0,69
85.0,23.0,38.0,48.0,50.0,60.0,51
65.0,48.0,62.0,63.0,46.0,49.0,60
58.0,49.0,50.0,56.0,71.0,79.0,72
65.0,58.0,64.0,61.0,64.0,67.0,65
55.0,54.0,66.0,61.0,73.0,71.0,71
72.0,71.0,73.0,74.0,73.0,73.0,73
71.0,58.0,62.0,66.0,35.0,63.0,64
51.0,67.0,77.0,68.0,68.0,64.0,74
76.0,46.0,51.0,58.0,57.0,62.0,62
74.0,41.0,57.0,65.0,60.0,62.0,67
86.0,55.0,61.0,69.0,27.0,64.0,66
63.0,30.0,49.0,57.0,69.0,76.0,70
72.0,33.0,45.0,57.0,54.0,59.0,59
51.0,41.0,53.0,57.0,71.0,73.0,70
71.0,67.0,67.0,73.0,38.0,59.0,68
72.0,50.0,56.0,59.0,52.0,59.0,59
64.0,52.0,55.0,65.0,45.0,57.0,58
82.0,60.0,66.0,74.0,65.0,50.0,72
73.0,70.0,75.0,78.0,54.0,61.0,76
72.0,62.0,37.0,54.0,17.0,42.0,58
73.0,55.0,61.0,61.0,36.0,60.0,62
64.0,57.0,60.0,64.0,60.0,70.0,63
76.0,52.0,55.0,58.0,51.0,63.0,58
34.0,45.0,54.0,46.0,70.0,63.0,70
79.0,38.0,59.0,63.0,62.0,65.0,67
74.0,58.0,68.0,64.0,47.0,61.0,65
75.0,46.0,53.0,60.0,62.0,67.0,65
65.0,62.0,69.0,70.0,69.0,73.0,73
57.0,43.0,61.0,61.0,75.0,69.0,73
71.0,37.0,50.0,56.0,63.0,71.0,64
66.0,50.0,56.0,64.0,65.0,67.0,66
75.0,53.0,66.0,64.0,73.0,76.0,75
82.0,74.0,67.0,77.0,29.0,59.0,76
89.0,64.0,66.0,73.0,27.0,68.0,71
78.0,71.0,73.0,79.0,44.0,71.0,75
76.0,56.0,61.0,71.0,49.0,65.0,69
60.0,50.0,39.0,51.0,20.0,50.0,51
61.0,31.0,37.0,37.0,56.0,60.0,56
66.0,34.0,52.0,56.0,65.0,72.0,66
69.0,65.0,49.0,62.0,22.0,61.0,63
76.0,56.0,57.0,62.0,59.0,67.0,65
63.0,37.0,56.0,58.0,63.0,67.0,64
67.0,49.0,52.0,54.0,60.0,76.0,59
64.0,48.0,56.0,62.0,54.0,45.0,57
61.0,47.0,59.0,62.0,54.0,59.0,58
80.0,64.0,70.0,78.0,40.0,56.0,73
58.0,56.0,63.0,68.0,64.0,72.0,67
64.0,70.0,70.0,69.0,65.0,74.0,69
85.0,61.0,66.0,73.0,54.0,66.0,72
62.0,57.0,64.0,66.0,41.0,51.0,64
58.0,31.0,48.0,42.0,60.0,77.0,62
53.0,59.0,70.0,72.0,66.0,64.0,70
73.0,41.0,52.0,56.0,59.0,74.0,64
63.0,54.0,58.0,60.0,54.0,58.0,59
85.0,57.0,56.0,66.0,28.0,54.0,63
47.0,50.0,60.0,58.0,63.0,79.0,66
62.0,42.0,48.0,54.0,25.0,46.0,51
54.0,43.0,62.0,64.0,64.0,57.0,64
73.0,60.0,53.0,62.0,30.0,52.0,60
67.0,51.0,63.0,62.0,57.0,67.0,64
71.0,61.0,47.0,60.0,22.0,75.0,63
71.0,52.0,63.0,62.0,62.0,77.0,67
84.0,80.0,73.0,79.0,48.0,79.0,79
53.0,42.0,48.0,36.0,59.0,67.0,59
71.0,40.0,61.0,69.0,70.0,67.0,72
74.0,61.0,70.0,73.0,59.0,52.0,70
79.0,58.0,51.0,66.0,17.0,51.0,63
88.0,50.0,60.0,66.0,23.0,47.0,63
77.0,53.0,64.0,74.0,70.0,69.0,73
70.0,48.0,54.0,60.0,59.0,62.0,62
66.0,49.0,56.0,57.0,63.0,47.0,62
69.0,43.0,54.0,58.0,59.0,70.0,63
77.0,49.0,52.0,58.0,54.0,60.0,61
75.0,60.0,65.0,70.0,53.0,61.0,67
78.0,61.0,65.0,73.0,28.0,59.0,69
92.0,77.0,70.0,82.0,32.0,71.0,80
69.0,51.0,62.0,66.0,31.0,59.0,65
92.0,65.0,69.0,76.0,43.0,51.0,74
57.0,48.0,61.0,61.0,74.0,73.0,73
64.0,57.0,63.0,64.0,50.0,56.0,63
67.0,29.0,40.0,51.0,53.0,64.0,56
80.0,65.0,75.0,80.0,46.0,50.0,75
53.0,29.0,42.0,46.0,62.0,71.0,63
55.0,30.0,42.0,43.0,61.0,67.0,61
76.0,52.0,64.0,70.0,67.0,74.0,72
57.0,26.0,38.0,48.0,64.0,65.0,64
79.0,81.0,79.0,78.0,44.0,82.0,81
75.0,55.0,48.0,59.0,24.0,59.0,58
74.0,39.0,60.0,67.0,68.0,75.0,71
48.0,39.0,45.0,45.0,70.0,83.0,70
66.0,57.0,62.0,66.0,64.0,68.0,66
67.0,36.0,48.0,50.0,67.0,71.0,67
51.0,28.0,47.0,45.0,62.0,79.0,64
65.0,63.0,57.0,58.0,43.0,56.0,61
65.0,52.0,66.0,67.0,62.0,60.0,66
67.0,52.0,59.0,64.0,60.0,59.0,62
76.0,57.0,51.0,63.0,21.0,59.0,60
64.0,67.0,62.0,70.0,26.0,53.0,67
82.0,37.0,59.0,68.0,62.0,70.0,70
74.0,59.0,52.0,64.0,26.0,59.0,61
86.0,59.0,38.0,60.0,18.0,44.0,59
54.0,66.0,56.0,65.0,38.0,69.0,67
66.0,41.0,60.0,59.0,62.0,65.0,64
75.0,69.0,73.0,80.0,75.0,77.0,79
71.0,55.0,64.0,69.0,61.0,72.0,66
59.0,54.0,65.0,65.0,64.0,65.0,67
65.0,48.0,61.0,59.0,75.0,78.0,75
62.0,51.0,54.0,60.0,78.0,80.0,77
67.0,51.0,60.0,61.0,61.0,62.0,65
78.0,57.0,62.0,72.0,67.0,62.0,71
63.0,37.0,58.0,58.0,64.0,74.0,66
63.0,25.0,31.0,49.0,56.0,54.0,55
73.0,24.0,41.0,49.0,65.0,72.0,65
80.0,63.0,52.0,60.0,30.0,64.0,63
76.0,56.0,64.0,72.0,55.0,53.0,66
65.0,54.0,62.0,66.0,65.0,68.0,66
65.0,48.0,53.0,59.0,62.0,75.0,65
45.0,48.0,54.0,46.0,66.0,75.0,67
55.0,53.0,59.0,63.0,54.0,66.0,65
68.0,58.0,64.0,68.0,60.0,70.0,64
63.0,70.0,52.0,68.0,30.0,75.0,69
85.0,53.0,70.0,70.0,60.0,52.0,70
71.0,37.0,54.0,56.0,68.0,73.0,69
83.0,37.0,58.0,66.0,65.0,84.0,68
64.0,27.0,51.0,48.0,63.0,76.0,65
65.0,43.0,63.0,68.0,72.0,77.0,73
67.0,34.0,48.0,59.0,61.0,60.0,63
63.0,28.0,50.0,58.0,59.0,61.0,62
67.0,52.0,40.0,52.0,27.0,56.0,51
55.0,44.0,49.0,50.0,67.0,73.0,67
45.0,64.0,47.0,53.0,25.0,65.0,61
63.0,57.0,63.0,61.0,67.0,76.0,67
70.0,32.0,47.0,53.0,60.0,68.0,61
79.0,39.0,52.0,57.0,58.0,60.0,63
91.0,46.0,65.0,73.0,67.0,69.0,74
76.0,46.0,50.0,45.0,65.0,84.0,68
67.0,61.0,50.0,57.0,24.0,70.0,61
36.0,44.0,57.0,56.0,64.0,76.0,65
51.0,52.0,54.0,54.0,79.0,84.0,78
76.0,76.0,74.0,75.0,48.0,75.0,76
66.0,57.0,70.0,72.0,73.0,67.0,74
66.0,51.0,61.0,64.0,55.0,62.0,63
61.0,27.0,41.0,44.0,56.0,66.0,57
90.0,67.0,62.0,71.0,31.0,67.0,70
58.0,61.0,70.0,69.0,74.0,74.0,74
58.0,29.0,30.0,33.0,52.0,54.0,50
56.0,32.0,57.0,60.0,66.0,73.0,67
90.0,75.0,68.0,80.0,34.0,64.0,77
63.0,49.0,54.0,57.0,51.0,59.0,57
78.0,48.0,63.0,73.0,67.0,70.0,72
92.0,75.0,63.0,81.0,43.0,73.0,75
65.0,51.0,50.0,54.0,23.0,53.0,54
80.0,41.0,53.0,60.0,56.0,64.0,62
85.0,53.0,56.0,68.0,55.0,70.0,66
72.0,58.0,64.0,68.0,51.0,48.0,63
44.0,40.0,55.0,62.0,66.0,70.0,67
80.0,63.0,65.0,71.0,27.0,51.0,69
76.0,60.0,62.0,68.0,59.0,63.0,67
79.0,30.0,60.0,59.0,77.0,74.0,76
64.0,50.0,56.0,62.0,42.0,64.0,61
67.0,67.0,68.0,67.0,48.0,65.0,68
59.0,39.0,58.0,59.0,68.0,71.0,68
67.0,49.0,63.0,67.0,66.0,69.0,66
66.0,46.0,49.0,62.0,35.0,41.0,56
71.0,52.0,55.0,59.0,55.0,60.0,57
76.0,70.0,58.0,73.0,22.0,65.0,70
75.0,70.0,71.0,75.0,72.0,79.0,75
67.0,25.0,45.0,46.0,45.0,44.0,52
70.0,49.0,62.0,63.0,60.0,66.0,64
74.0,44.0,43.0,55.0,32.0,42.0,54
75.0,67.0,71.0,73.0,53.0,69.0,71
71.0,56.0,65.0,63.0,58.0,72.0,65
79.0,63.0,68.0,76.0,44.0,45.0,73
75.0,52.0,53.0,57.0,39.0,58.0,59
61.0,71.0,59.0,70.0,37.0,73.0,72
69.0,64.0,69.0,73.0,57.0,62.0,70
64.0,56.0,55.0,59.0,60.0,76.0,61
61.0,35.0,59.0,66.0,72.0,73.0,71
90.0,69.0,62.0,75.0,30.0,61.0,73
71.0,33.0,52.0,59.0,75.0,73.0,73
58.0,30.0,36.0,49.0,47.0,48.0,50
82.0,64.0,54.0,67.0,33.0,66.0,65
77.0,56.0,59.0,68.0,69.0,77.0,70
81.0,36.0,60.0,67.0,67.0,67.0,72
64.0,71.0,75.0,75.0,72.0,76.0,77
67.0,61.0,65.0,71.0,41.0,57.0,66
71.0,31.0,49.0,64.0,74.0,72.0,73
61.0,41.0,53.0,57.0,75.0,73.0,73
73.0,37.0,50.0,57.0,51.0,56.0,57
78.0,29.0,46.0,55.0,55.0,73.0,62
71.0,48.0,57.0,60.0,62.0,65.0,64
73.0,60.0,61.0,58.0,61.0,71.0,66
51.0,33.0,41.0,36.0,66.0,74.0,65
77.0,56.0,73.0,75.0,78.0,81.0,80
77.0,51.0,63.0,72.0,40.0,46.0,68
83.0,63.0,63.0,79.0,43.0,52.0,73
75.0,33.0,60.0,68.0,65.0,66.0,70
72.0,71.0,59.0,70.0,33.0,67.0,71
69.0,52.0,62.0,65.0,54.0,64.0,62
71.0,59.0,68.0,69.0,41.0,59.0,67
77.0,71.0,49.0,64.0,31.0,71.0,70
62.0,54.0,60.0,58.0,41.0,47.0,59
74.0,74.0,67.0,73.0,30.0,63.0,73
66.0,49.0,67.0,65.0,63.0,67.0,67
92.0,64.0,73.0,80.0,78.0,71.0,83
71.0,64.0,49.0,64.0,34.0,77.0,68
86.0,61.0,66.0,75.0,68.0,60.0,71
75.0,59.0,61.0,65.0,64.0,78.0,67
76.0,49.0,51.0,68.0,39.0,41.0,60
49.0,54.0,72.0,72.0,66.0,70.0,72
71.0,46.0,64.0,67.0,43.0,47.0,61
63.0,47.0,54.0,53.0,50.0,61.0,54
67.0,63.0,72.0,72.0,65.0,62.0,71
60.0,33.0,40.0,40.0,66.0,70.0,65
75.0,69.0,67.0,74.0,55.0,67.0,71
84.0,61.0,57.0,70.0,36.0,66.0,68
52.0,41.0,47.0,49.0,69.0,76.0,69
83.0,72.0,75.0,78.0,52.0,48.0,78
42.0,71.0,80.0,75.0,38.0,50.0,75
78.0,64.0,73.0,78.0,32.0,61.0,76
54.0,45.0,56.0,60.0,61.0,74.0,64
70.0,54.0,37.0,49.0,21.0,50.0,52
67.0,57.0,58.0,64.0,59.0,70.0,62
77.0,50.0,66.0,65.0,73.0,79.0,74
73.0,58.0,66.0,69.0,62.0,69.0,69
88.0,77.0,83.0,84.0,35.0,72.0,83
67.0,49.0,55.0,55.0,42.0,56.0,54
69.0,54.0,62.0,68.0,65.0,71.0,70
41.0,47.0,51.0,53.0,61.0,70.0,62
72.0,32.0,38.0,58.0,56.0,54.0,58
69.0,37.0,53.0,57.0,54.0,64.0,59
60.0,57.0,70.0,71.0,68.0,66.0,70
63.0,52.0,64.0,66.0,61.0,63.0,64
70.0,61.0,66.0,70.0,51.0,69.0,68
53.0,62.0,63.0,60.0,56.0,79.0,62
68.0,60.0,53.0,65.0,42.0,60.0,63
70.0,64.0,74.0,75.0,56.0,59.0,74
70.0,50.0,49.0,54.0,49.0,60.0,54
76.0,23.0,43.0,56.0,52.0,66.0,58
77.0,59.0,61.0,63.0,35.0,56.0,66
55.0,27.0,42.0,40.0,65.0,69.0,64
76.0,60.0,44.0,62.0,26.0,50.0,61
54.0,40.0,53.0,56.0,58.0,63.0,59
58.0,29.0,46.0,54.0,65.0,68.0,65
73.0,65.0,57.0,69.0,20.0,62.0,65
64.0,63.0,71.0,73.0,80.0,86.0,81
60.0,39.0,62.0,66.0,69.0,76.0,72
74.0,54.0,64.0,63.0,59.0,69.0,65
73.0,63.0,70.0,70.0,66.0,73.0,72
81.0,61.0,55.0,69.0,29.0,52.0,63
34.0,42.0,54.0,60.0,70.0,70.0,67
78.0,49.0,56.0,64.0,67.0,75.0,67
78.0,62.0,64.0,70.0,64.0,68.0,70
83.0,37.0,62.0,66.0,62.0,67.0,69
63.0,42.0,61.0,63.0,70.0,77.0,70
57.0,29.0,41.0,43.0,53.0,60.0,53
56.0,28.0,56.0,57.0,69.0,66.0,67
71.0,62.0,54.0,66.0,28.0,46.0,63
46.0,74.0,54.0,70.0,39.0,72.0,71
53.0,47.0,43.0,52.0,25.0,51.0,48
55.0,67.0,48.0,60.0,28.0,66.0,65
63.0,65.0,69.0,69.0,68.0,75.0,71
47.0,63.0,66.0,68.0,63.0,64.0,66
53.0,40.0,51.0,51.0,76.0,80.0,76
36.0,38.0,60.0,60.0,69.0,72.0,71
73.0,65.0,72.0,76.0,77.0,79.0,79
72.0,58.0,67.0,73.0,60.0,61.0,68
68.0,45.0,53.0,56.0,55.0,62.0,57
79.0,63.0,52.0,66.0,22.0,52.0,63
83.0,70.0,72.0,79.0,39.0,59.0,76
80.0,56.0,54.0,68.0,32.0,54.0,64
57.0,65.0,47.0,59.0,28.0,72.0,65
97.0,88.0,80.0,92.0,36.0,77.0,91
72.0,61.0,62.0,65.0,62.0,72.0,67
76.0,40.0,55.0,64.0,58.0,60.0,64
77.0,32.0,47.0,60.0,60.0,63.0,64
62.0,71.0,70.0,71.0,63.0,76.0,71
68.0,48.0,49.0,52.0,59.0,60.0,60
56.0,31.0,48.0,54.0,56.0,64.0,59
74.0,77.0,74.0,77.0,56.0,80.0,77
55.0,51.0,60.0,61.0,59.0,61.0,61
77.0,59.0,62.0,69.0,35.0,47.0,65
39.0,66.0,68.0,68.0,78.0,87.0,78
62.0,53.0,62.0,62.0,60.0,71.0,64
58.0,40.0,54.0,56.0,62.0,67.0,62
65.0,52.0,57.0,59.0,55.0,63.0,59
34.0,73.0,72.0,66.0,73.0,72.0,72
65.0,70.0,69.0,69.0,70.0,77.0,73
77.0,31.0,50.0,55.0,58.0,72.0,63
58.0,32.0,39.0,43.0,64.0,67.0,64
85.0,68.0,69.0,76.0,35.0,69.0,76
71.0,55.0,54.0,66.0,65.0,74.0,65
67.0,65.0,73.0,73.0,40.0,67.0,72
61.0,60.0,47.0,56.0,24.0,54.0,60
66.0,49.0,57.0,58.0,45.0,50.0,56
70.0,49.0,57.0,61.0,49.0,58.0,57
61.0,60.0,65.0,64.0,71.0,71.0,69
81.0,35.0,57.0,66.0,64.0,63.0,69
53.0,46.0,59.0,63.0,53.0,47.0,59
84.0,80.0,82.0,88.0,35.0,63.0,85
62.0,31.0,39.0,42.0,62.0,61.0,61
76.0,53.0,64.0,66.0,64.0,66.0,68
41.0,31.0,39.0,52.0,73.0,78.0,71
52.0,37.0,55.0,55.0,62.0,69.0,62
71.0,38.0,52.0,59.0,59.0,72.0,63
76.0,59.0,56.0,63.0,29.0,57.0,60
59.0,32.0,51.0,55.0,55.0,58.0,56
60.0,39.0,51.0,52.0,64.0,75.0,65
70.0,59.0,62.0,64.0,54.0,63.0,64
37.0,34.0,37.0,41.0,64.0,80.0,66
74.0,61.0,54.0,63.0,33.0,57.0,60
68.0,49.0,52.0,55.0,25.0,44.0,56
64.0,57.0,62.0,62.0,75.0,87.0,76
68.0,63.0,65.0,70.0,52.0,61.0,67
68.0,63.0,55.0,63.0,67.0,61.0,66
68.0,52.0,50.0,60.0,26.0,59.0,57
62.0,54.0,60.0,61.0,57.0,59.0,60
61.0,33.0,47.0,46.0,66.0,66.0,66
67.0,63.0,69.0,73.0,57.0,69.0,69
91.0,74.0,58.0,75.0,40.0,77.0,76
56.0,32.0,30.0,33.0,60.0,69.0,59
74.0,65.0,56.0,70.0,33.0,59.0,66
75.0,55.0,60.0,67.0,64.0,66.0,66
74.0,58.0,67.0,71.0,65.0,71.0,69
61.0,50.0,38.0,47.0,21.0,55.0,51
35.0,48.0,55.0,52.0,73.0,72.0,71
72.0,66.0,56.0,69.0,27.0,46.0,66
60.0,37.0,46.0,60.0,56.0,55.0,59
66.0,44.0,55.0,55.0,38.0,56.0,57
64.0,33.0,45.0,53.0,59.0,62.0,59
72.0,74.0,69.0,71.0,37.0,67.0,72
77.0,63.0,71.0,77.0,32.0,51.0,73
58.0,31.0,36.0,39.0,51.0,58.0,52
