height_cm,attacking_overall,defending_overall,pace,shooting,passing,dribbling,physic,skill_overall,movement_overall,power_overall,mentality_overall,goalkeeping_overall,forward,midfielder,defender,goalkeeper
191,52,68,57,41,56,54,72,52,53,62,56,10,0,0,1,0
183,56,65,60,54,63,64,72,59,64,66,59,10,0,0,1,0
185,56,79,50,42,65,60,78,62,55,65,61,10,0,0,1,0
194,45,72,45,30,47,46,77,42,44,57,49,12,0,0,1,0
180,51,62,68,43,61,64,73,57,66,64,62,12,0,0,1,0
180,17,16,28,18,25,27,29,18,56,40,33,61,0,0,0,1
183,66,25,72,71,55,71,69,59,71,68,58,9,1,0,0,0
182,78,70,50,83,90,81,69,87,63,73,80,10,0,1,0,0
175,77,77,77,75,80,86,79,81,82,79,78,11,0,1,0,0
188,37,63,55,29,41,46,76,38,54,60,47,11,0,0,1,0
185,52,60,75,45,58,60,71,53,69,57,56,12,0,0,1,0
174,54,45,86,55,59,70,57,58,78,61,51,11,0,1,0,0
174,54,71,81,46,60,73,63,57,78,54,59,11,0,0,1,0
177,60,72,73,57,65,69,69,67,72,69,63,11,0,0,1,0
184,50,71,70,44,58,59,71,56,68,68,58,12,0,0,1,0
183,45,14,74,54,37,54,65,39,64,63,41,10,1,0,0,0
181,51,65,67,46,52,53,79,48,64,71,58,9,0,0,1,0
180,57,66,71,49,55,57,54,49,67,53,45,10,0,0,1,0
177,65,30,79,68,70,72,61,64,74,65,62,12,0,1,0,0
181,42,54,78,34,45,49,58,42,69,47,42,11,0,0,1,0
170,61,39,72,67,66,73,54,65,75,56,60,11,0,1,0,0
175,57,68,66,54,64,67,64,61,66,59,61,10,0,1,0,0
182,60,63,79,67,65,66,76,69,72,72,65,12,0,0,1,0
178,62,46,68,65,64,69,59,64,68,64,61,14,0,1,0,0
178,67,19,72,71,57,74,63,63,74,65,62,12,1,0,0,0
170,56,57,73,61,64,72,66,62,76,68,63,11,0,1,0,0
187,11,11,28,18,25,27,29,19,37,37,25,56,0,0,0,1
175,48,34,77,55,55,68,44,58,72,47,50,12,1,0,0,0
186,56,60,57,59,67,71,63,69,62,59,58,12,0,1,0,0
183,49,24,67,52,46,55,53,44,63,50,46,12,1,0,0,0
185,69,53,74,71,60,67,81,54,69,77,69,10,1,0,0,0
180,57,62,70,56,58,64,67,56,71,66,57,11,0,1,0,0
185,55,58,61,49,58,60,71,52,59,59,55,11,0,1,0,0
194,40,65,62,28,41,49,75,41,54,55,46,11,0,0,1,0
171,42,56,63,32,55,60,51,48,70,50,47,10,0,1,0,0
184,56,71,69,58,57,64,77,51,67,69,61,11,0,1,0,0
180,55,64,78,49,62,64,66,57,71,60,57,11,0,0,1,0
175,56,59,77,54,59,67,70,57,72,64,57,10,0,1,0,0
184,63,28,69,73,59,69,70,59,68,73,58,14,1,0,0,0
173,55,57,67,59,62,63,65,62,69,67,59,12,0,1,0,0
170,48,53,79,49,55,63,54,56,72,58,53,11,0,0,1,0
182,56,20,63,61,52,62,54,50,65,58,45,10,1,0,0,0
178,51,43,72,44,62,68,53,62,72,54,50,11,0,1,0,0
184,56,71,54,65,67,61,80,65,60,71,68,9,0,1,0,0
188,15,13,28,18,25,27,29,19,38,34,21,52,0,0,0,1
180,45,48,77,43,51,56,51,48,69,50,50,11,0,0,1,0
177,59,23,72,65,56,69,56,55,69,60,47,9,1,0,0,0
181,62,16,76,69,56,68,69,60,71,70,60,12,1,0,0,0
178,60,55,84,65,69,72,64,68,77,65,59,10,0,1,0,0
184,56,46,75,58,59,67,65,58,70,63,56,10,0,1,0,0
185,53,63,55,48,61,62,76,59,60,66,62,11,0,1,0,0
179,44,65,67,44,49,69,66,52,65,60,55,11,0,0,1,0
188,13,11,28,18,25,27,29,12,29,30,17,49,0,0,0,1
188,43,63,65,27,49,50,66,41,58,52,43,11,0,0,1,0
176,61,68,61,63,70,71,77,69,70,74,69,11,0,1,0,0
185,38,60,50,24,37,47,72,35,54,55,42,11,0,0,1,0
193,16,12,28,18,25,27,29,16,36,38,21,52,0,0,0,1
175,51,59,61,62,57,62,69,57,66,68,63,9,0,1,0,0
181,51,31,79,57,52,63,53,55,67,53,48,11,1,0,0,0
194,13,13,28,18,25,27,29,16,38,45,31,65,0,0,0,1
182,50,26,91,53,46,58,52,44,75,54,40,12,1,0,0,0
183,12,15,28,18,25,27,29,10,46,41,31,57,0,0,0,1
180,57,56,68,63,65,70,62,63,71,61,63,10,0,1,0,0
177,65,63,85,65,72,81,75,71,85,74,69,12,0,1,0,0
185,49,63,47,44,52,49,70,43,51,64,53,11,0,0,1,0
170,55,23,83,61,61,72,43,63,76,47,50,10,0,1,0,0
184,31,53,53,23,35,33,59,30,51,50,39,11,0,0,1,0
182,51,29,68,52,51,58,55,47,64,53,46,12,0,1,0,0
190,13,11,28,18,25,27,29,15,32,39,21,54,0,0,0,1
185,62,31,71,65,58,68,60,57,67,63,54,11,1,0,0,0
179,65,65,71,65,72,76,68,70,73,70,66,10,0,1,0,0
178,69,32,75,70,69,72,73,67,73,74,63,11,1,0,0,0
176,52,66,68,47,66,70,64,59,69,61,67,9,0,1,0,0
173,76,48,63,74,87,87,53,83,77,63,74,10,0,1,0,0
182,47,58,85,38,50,58,62,48,71,54,49,10,0,0,1,0
185,35,61,54,27,34,35,71,29,53,53,43,10,0,0,1,0
185,54,73,67,37,68,60,77,56,64,65,64,11,0,0,1,0
185,63,18,71,67,56,67,66,53,67,68,53,14,1,0,0,0
173,46,59,69,38,50,60,68,45,72,62,47,9,0,0,1,0
185,46,52,61,49,51,54,58,48,57,53,53,11,0,1,0,0
186,32,53,61,25,32,35,69,29,53,54,38,11,0,0,1,0
184,54,26,80,60,54,65,58,52,73,56,45,12,1,0,0,0
168,42,58,60,34,58,59,59,52,64,54,50,11,0,1,0,0
190,36,59,60,26,38,46,70,37,56,51,46,10,0,0,1,0
191,17,15,28,18,25,27,29,18,43,48,35,68,0,0,0,1
193,19,14,28,18,25,27,29,21,44,48,26,62,0,0,0,1
176,42,17,80,48,41,51,48,39,72,47,42,11,1,0,0,0
185,46,71,56,28,54,61,64,49,55,51,51,11,0,0,1,0
177,63,73,71,64,69,70,76,69,71,77,68,13,0,1,0,0
189,12,14,28,18,25,27,29,15,44,37,21,57,0,0,0,1
193,63,90,78,60,71,72,84,72,71,79,72,12,0,0,1,0
178,51,55,71,58,60,64,63,58,70,64,56,12,0,1,0,0
175,55,65,81,60,64,71,71,62,75,68,64,10,0,0,1,0
178,63,35,78,74,60,73,63,61,72,70,57,11,1,0,0,0
188,62,69,64,61,73,75,84,69,66,74,70,12,0,1,0,0
180,58,31,80,60,63,67,60,61,69,58,51,9,0,1,0,0
173,61,60,70,62,69,69,63,69,71,68,64,9,0,1,0,0
170,43,58,81,31,55,64,64,48,78,52,54,10,0,0,1,0
183,51,26,73,57,49,60,67,49,65,64,53,11,1,0,0,0
192,10,11,28,18,25,27,29,12,39,40,21,55,0,0,0,1
178,49,46,63,48,55,56,45,51,61,47,47,11,0,1,0,0
177,60,53,71,64,67,76,54,66,71,62,57,9,0,1,0,0
185,62,30,64,66,63,63,72,64,62,67,60,12,1,0,0,0
188,62,20,64,74,51,68,76,57,62,74,59,12,1,0,0,0
166,60,42,79,63,68,76,45,64,82,53,56,11,0,1,0,0
177,48,22,68,51,50,56,31,46,64,42,40,11,1,0,0,0
196,55,27,53,62,48,56,78,50,46,69,55,11,1,0,0,0
184,12,13,28,18,25,27,29,14,42,46,24,67,0,0,0,1
191,11,10,28,18,25,27,29,13,36,35,19,57,0,0,0,1
174,47,66,83,38,48,63,55,56,75,51,54,11,0,0,1,0
188,59,63,65,62,66,68,71,64,63,69,62,8,0,1,0,0
183,37,65,66,22,38,36,68,28,61,50,44,10,0,0,1,0
180,58,50,65,63,69,71,67,69,66,65,68,10,0,1,0,0
185,39,64,61,31,43,48,64,39,56,54,44,8,0,0,1,0
168,57,62,90,57,64,72,69,63,83,73,60,9,0,0,1,0
179,59,43,57,61,68,66,61,68,57,56,62,12,0,1,0,0
185,47,58,81,41,52,65,64,50,69,60,47,11,0,0,1,0
179,51,40,65,53,58,64,54,57,66,56,51,10,1,0,0,0
178,56,66,68,50,66,65,68,65,67,66,61,11,0,0,1,0
190,56,29,67,62,49,55,64,50,58,62,52,9,1,0,0,0
174,61,68,66,60,70,71,72,66,69,69,67,13,0,1,0,0
192,13,18,28,18,25,27,29,14,45,39,28,63,0,0,0,1
182,53,61,64,54,59,65,70,61,64,63,60,11,0,1,0,0
175,58,31,66,63,68,68,56,70,66,60,53,10,0,1,0,0
174,44,25,82,52,54,66,45,49,78,51,47,10,0,1,0,0
189,11,11,28,18,25,27,29,17,28,35,18,47,0,0,0,1
185,38,58,61,28,40,43,67,36,55,57,43,12,0,0,1,0
194,11,11,28,18,25,27,29,12,30,32,17,48,0,0,0,1
196,62,76,40,56,70,67,85,64,44,74,71,13,0,1,0,0
186,43,67,61,33,47,46,66,42,59,56,43,10,0,0,1,0
180,36,55,58,36,36,42,64,34,57,56,38,9,0,0,1,0
184,46,68,54,29,46,48,58,40,50,46,44,12,0,0,1,0
174,55,74,76,38,68,75,68,59,75,58,62,10,0,0,1,0
182,62,73,60,56,74,69,70,72,63,66,64,12,0,1,0,0
181,66,30,80,68,67,73,61,69,76,60,58,12,0,1,0,0
187,48,65,88,40,53,65,72,50,74,62,56,13,0,0,1,0
189,59,52,63,60,68,65,66,65,56,62,52,11,0,1,0,0
190,53,31,67,62,42,62,69,46,64,67,50,12,1,0,0,0
189,38,56,61,30,37,41,67,32,57,55,38,10,0,0,1,0
182,59,62,52,60,62,61,68,60,58,66,64,12,0,1,0,0
180,53,18,66,64,46,62,54,51,61,60,44,10,1,0,0,0
178,55,17,79,58,51,70,33,54,73,46,44,8,0,1,0,0
195,37,59,54,38,41,35,60,38,48,57,43,11,0,0,1,0
189,48,69,63,49,51,56,77,47,57,69,59,13,0,0,1,0
188,16,13,28,18,25,27,29,17,54,43,30,62,0,0,0,1
183,63,32,65,63,63,62,66,59,63,63,56,11,1,0,0,0
178,53,55,65,53,64,71,49,63,69,50,61,10,0,1,0,0
181,66,28,72,70,63,72,69,61,72,70,61,9,1,0,0,0
185,13,12,28,18,25,27,29,14,37,35,16,45,0,0,0,1
198,12,11,28,18,25,27,29,13,38,39,20,56,0,0,0,1
185,53,25,66,66,42,60,60,45,64,66,48,10,1,0,0,0
190,63,24,29,65,59,60,68,61,35,60,60,13,1,0,0,0
182,51,61,50,51,61,60,65,60,57,63,58,13,0,0,1,0
185,62,38,68,66,57,61,71,54,64,70,60,11,1,0,0,0
174,59,68,74,52,60,65,62,52,70,55,55,11,0,0,1,0
183,58,24,72,66,51,63,76,51,66,69,59,12,1,0,0,0
178,54,45,64,55,61,55,57,54,60,57,55,11,0,1,0,0
185,62,49,73,66,65,70,63,63,69,65,65,10,0,1,0,0
175,52,41,64,56,59,68,46,59,63,56,50,11,1,0,0,0
185,40,63,63,30,45,41,75,33,61,62,50,11,0,0,1,0
175,48,68,77,36,52,69,75,51,73,57,57,11,0,0,1,0
180,51,20,78,58,53,62,47,54,72,57,48,11,0,1,0,0
188,70,64,34,67,74,60,65,70,41,63,68,10,0,1,0,0
190,66,30,71,70,67,72,78,68,68,74,65,10,1,0,0,0
187,65,30,74,72,51,66,80,46,67,76,58,12,1,0,0,0
192,54,14,87,57,49,53,74,46,67,66,48,11,1,0,0,0
176,56,49,82,62,61,71,56,61,76,57,59,11,0,1,0,0
188,48,56,59,42,56,61,58,54,56,52,52,8,0,1,0,0
183,47,59,57,43,54,53,60,47,59,55,54,10,0,1,0,0
169,63,22,70,70,61,72,61,63,76,69,64,12,1,0,0,0
176,44,61,74,27,56,56,67,60,67,50,54,11,0,0,1,0
168,61,48,51,65,68,69,39,66,66,47,59,13,0,1,0,0
175,40,57,71,28,46,55,55,43,58,45,44,11,0,0,1,0
184,60,20,80,61,63,71,63,60,73,61,54,13,0,1,0,0
186,12,12,28,18,25,27,29,15,41,39,22,56,0,0,0,1
175,57,46,71,59,61,63,58,60,70,56,55,11,0,1,0,0
174,68,23,79,73,76,78,60,77,81,68,64,12,0,1,0,0
179,71,59,67,73,76,75,67,76,70,73,70,10,0,1,0,0
175,68,65,68,69,77,77,64,77,73,67,69,10,0,1,0,0
179,51,49,70,54,64,69,60,65,69,60,55,12,0,1,0,0
173,61,70,57,59,66,68,62,63,64,61,67,10,0,0,1,0
187,43,63,54,33,44,46,71,40,53,55,51,11,0,0,1,0
185,63,54,61,71,71,70,70,72,63,67,71,10,0,1,0,0
174,57,42,85,59,59,67,63,60,78,63,56,9,0,1,0,0
181,58,25,73,62,61,65,47,62,65,54,50,9,1,0,0,0
186,51,61,69,37,57,61,71,50,64,61,53,12,0,0,1,0
168,54,20,77,64,46,64,47,48,72,58,48,13,1,0,0,0
176,44,19,68,49,43,53,49,44,62,52,42,10,1,0,0,0
182,62,35,72,64,62,72,67,61,68,61,61,10,0,1,0,0
171,68,61,74,72,71,75,58,70,75,64,62,8,0,1,0,0
196,55,85,68,49,55,63,87,53,56,62,71,14,0,0,1,0
182,11,10,28,18,25,27,29,11,35,35,19,49,0,0,0,1
185,55,62,68,54,63,63,74,61,66,69,61,10,0,1,0,0
198,13,15,28,18,25,27,29,19,31,38,24,60,0,0,0,1
177,49,33,72,51,54,60,44,53,68,46,46,10,0,1,0,0
176,57,68,91,46,65,73,69,64,79,63,62,9,0,0,1,0
187,43,68,65,23,49,46,59,37,59,47,49,10,0,0,1,0
174,73,39,81,77,72,78,76,73,81,77,72,12,1,0,0,0
173,56,38,70,59,58,62,54,54,68,56,51,9,0,1,0,0
174,68,67,73,66,72,72,80,70,70,74,72,10,0,0,1,0
185,63,68,53,57,64,70,76,62,62,72,61,11,0,1,0,0
180,59,18,81,64,56,73,60,54,77,64,50,10,1,0,0,0
182,58,57,73,55,65,56,68,57,69,67,55,9,0,1,0,0
185,64,22,75,67,61,66,61,56,69,67,52,12,1,0,0,0
185,73,54,72,75,67,70,83,62,68,81,65,13,1,0,0,0
185,46,64,62,33,49,57,65,46,60,51,50,11,0,0,1,0
180,71,70,53,69,76,71,73,72,61,69,74,8,0,1,0,0
178,62,61,61,64,72,72,63,72,68,66,67,10,0,1,0,0
181,60,77,55,49,70,69,79,62,62,70,69,11,0,1,0,0
176,54,60,65,57,70,66,70,68,68,69,61,10,0,1,0,0
185,46,43,63,47,57,63,57,56,61,54,49,12,0,1,0,0
185,58,32,82,61,58,64,73,59,73,68,54,13,1,0,0,0
188,55,60,68,53,64,68,72,57,69,69,65,12,0,1,0,0
177,60,31,65,63,68,76,60,67,73,65,58,12,0,1,0,0
173,55,35,83,60,55,64,58,55,73,63,52,11,0,1,0,0
189,60,32,60,64,61,68,50,62,58,55,52,10,1,0,0,0
176,62,73,75,43,69,74,67,64,74,62,62,10,0,0,1,0
182,60,23,79,67,47,70,63,55,70,67,43,11,1,0,0,0
185,11,13,28,18,25,27,29,13,38,37,18,53,0,0,0,1
177,51,42,67,55,49,60,48,49,62,53,49,10,1,0,0,0
181,39,62,61,30,41,50,64,41,58,53,45,11,0,0,1,0
189,52,59,69,45,59,60,70,59,62,63,55,10,0,0,1,0
179,53,67,70,40,61,70,71,53,72,59,54,8,0,0,1,0
185,59,71,71,57,63,66,74,58,68,68,62,12,0,1,0,0
190,44,67,67,29,45,42,73,37,55,56,50,12,0,0,1,0
179,43,59,68,41,53,57,62,48,64,54,52,11,0,1,0,0
180,55,43,75,59,64,67,55,61,73,58,54,10,0,1,0,0
175,57,28,76,61,57,66,65,59,76,68,52,10,1,0,0,0
193,38,69,57,24,41,44,72,39,54,55,46,13,0,0,1,0
178,40,15,60,47,36,47,43,38,57,49,40,10,1,0,0,0
173,56,22,81,63,57,74,43,63,78,53,52,11,0,1,0,0
177,64,65,69,66,73,73,70,71,69,67,68,11,0,1,0,0
178,65,68,73,67,74,71,80,73,73,77,71,10,0,0,1,0
180,65,27,60,66,54,65,77,48,64,73,60,12,1,0,0,0
190,51,71,54,42,57,63,79,52,57,65,56,11,0,0,1,0
180,72,80,74,69,71,72,76,68,69,74,66,11,0,0,1,0
183,34,45,80,26,38,48,50,37,66,41,41,10,0,0,1,0
172,59,30,76,62,59,67,47,61,74,57,50,10,1,0,0,0
160,58,31,70,64,65,70,50,66,77,63,57,13,0,1,0,0
181,59,19,56,66,54,63,61,55,57,66,47,10,1,0,0,0
180,48,60,66,43,58,59,69,49,68,58,54,11,0,0,1,0
180,50,22,74,65,44,63,55,46,64,60,54,11,1,0,0,0
183,53,59,79,50,61,62,54,59,71,56,53,9,0,0,1,0
188,47,67,66,35,53,58,70,50,62,59,52,11,0,0,1,0
162,37,51,68,29,40,52,43,37,69,45,41,10,0,0,1,0
178,47,58,80,43,50,61,61,47,67,51,55,11,0,0,1,0
188,12,14,28,18,25,27,29,20,50,50,33,61,0,0,0,1
174,59,60,79,54,64,61,66,57,72,61,53,8,0,1,0,0
190,63,65,65,64,69,68,82,69,63,74,67,10,0,1,0,0
187,57,19,73,63,55,65,74,54,66,71,55,10,1,0,0,0
196,63,32,41,64,56,56,63,49,46,61,55,13,1,0,0,0
183,56,73,73,50,65,65,80,62,71,72,59,9,0,0,1,0
188,12,11,28,18,25,27,29,16,36,32,26,62,0,0,0,1
197,12,12,28,18,25,27,29,12,36,36,18,55,0,0,0,1
190,53,18,62,66,41,57,65,44,58,65,49,11,1,0,0,0
168,52,55,67,53,59,64,62,55,73,62,57,14,0,1,0,0
173,56,64,77,55,59,65,64,57,72,58,61,12,0,1,0,0
182,58,63,52,60,63,68,61,62,64,60,58,10,0,1,0,0
172,65,33,79,71,63,75,48,69,74,57,59,12,1,0,0,0
186,63,70,76,60,75,72,77,74,72,72,70,10,0,0,1,0
175,44,29,64,47,49,57,48,51,59,48,42,10,0,1,0,0
185,41,46,64,36,50,48,54,45,62,47,46,12,0,1,0,0
189,41,57,72,33,44,55,66,43,61,51,44,9,0,0,1,0
187,53,18,65,59,45,59,60,42,63,61,47,11,1,0,0,0
171,51,60,55,51,60,61,61,59,64,64,59,9,0,1,0,0
173,40,65,58,36,37,57,50,44,62,46,47,9,0,0,1,0
182,63,66,39,63,67,65,65,68,50,63,67,12,0,1,0,0
190,58,74,61,43,61,63,79,53,60,64,60,10,0,0,1,0
175,52,57,76,51,55,62,60,56,72,55,50,9,0,0,1,0
194,19,13,28,18,25,27,29,16,50,44,26,68,0,0,0,1
170,45,64,67,41,61,67,56,55,68,54,55,12,0,1,0,0
183,22,14,28,18,25,27,29,25,43,47,32,66,0,0,0,1
177,37,59,65,25,42,51,62,39,68,49,42,10,0,0,1,0
179,58,54,68,62,64,65,66,61,70,69,61,13,0,1,0,0
180,55,29,76,64,58,70,63,66,71,67,51,10,0,1,0,0
171,58,56,82,68,73,77,65,74,80,65,65,11,0,1,0,0
170,41,54,63,37,51,57,60,48,64,50,54,13,0,1,0,0
173,50,51,61,56,57,63,53,52,61,57,51,11,0,1,0,0
189,13,13,28,18,25,27,29,16,37,38,23,61,0,0,0,1
180,61,24,62,69,54,65,76,60,61,72,56,11,1,0,0,0
170,53,36,75,57,65,73,51,67,75,56,53,11,0,1,0,0
180,65,72,71,65,69,71,72,66,70,70,65,11,0,1,0,0
181,43,60,62,36,56,59,68,51,63,53,53,12,0,1,0,0
173,45,64,75,35,50,63,65,49,72,54,54,11,0,0,1,0
181,57,72,71,54,58,61,72,52,68,70,64,10,0,0,1,0
175,53,59,65,49,61,58,71,52,63,63,59,11,0,0,1,0
183,17,15,28,18,25,27,29,19,47,39,22,58,0,0,0,1
186,53,48,62,50,63,62,49,61,59,50,47,10,0,1,0,0
183,37,71,41,31,39,52,78,44,53,67,51,9,0,0,1,0
178,54,23,52,61,47,58,67,45,55,62,48,11,1,0,0,0
179,54,60,72,49,62,71,60,60,71,59,61,12,0,1,0,0
183,37,60,67,26,40,46,66,34,64,54,44,10,0,0,1,0
187,50,69,74,34,57,57,73,48,68,56,56,8,0,0,1,0
189,69,48,87,71,61,80,68,60,80,64,66,11,0,1,0,0
181,48,60,60,44,52,59,60,51,59,54,49,10,0,1,0,0
177,48,50,84,49,55,62,54,50,71,54,49,11,0,0,1,0
192,48,69,49,37,52,43,84,43,44,66,53,13,0,0,1,0
173,47,28,90,51,49,66,39,53,78,45,42,10,1,0,0,0
174,57,53,64,56,66,62,70,63,65,70,53,10,0,1,0,0
174,68,29,86,75,73,85,62,75,85,70,61,14,0,1,0,0
181,81,62,76,86,93,88,78,88,80,81,82,11,0,1,0,0
174,56,28,83,60,56,70,50,58,78,55,51,12,1,0,0,0
174,71,76,62,75,84,82,71,83,72,69,80,10,0,1,0,0
173,62,24,80,63,56,65,56,55,73,64,43,10,1,0,0,0
196,20,18,28,18,25,27,29,22,48,49,29,63,0,0,0,1
177,72,62,75,77,81,82,66,81,77,71,78,12,0,1,0,0
183,60,71,69,48,64,64,71,59,66,59,60,9,0,0,1,0
180,55,45,51,50,66,66,56,64,59,53,53,12,0,1,0,0
175,47,36,66,57,58,65,63,61,67,60,50,9,0,1,0,0
176,51,47,70,45,59,62,53,58,71,54,54,11,0,1,0,0
186,52,73,60,41,59,54,75,49,57,66,55,11,0,0,1,0
188,37,73,56,18,42,53,70,39,56,50,43,10,0,0,1,0
174,63,65,80,62,62,67,79,58,76,72,63,11,0,0,1,0
183,62,17,67,69,53,67,63,59,64,66,55,8,1,0,0,0
183,54,21,64,66,45,62,42,48,67,54,48,9,1,0,0,0
182,54,68,86,42,62,69,67,54,76,60,55,11,0,0,1,0
178,41,58,75,28,53,64,63,51,69,49,49,9,0,0,1,0
189,13,10,28,18,25,27,29,13,32,36,23,56,0,0,0,1
173,56,62,55,54,66,65,65,65,64,66,60,11,0,1,0,0
174,51,64,73,44,57,57,54,49,69,53,51,10,0,0,1,0
184,46,73,68,32,50,58,78,44,65,65,54,11,0,0,1,0
182,65,36,76,69,60,64,75,55,68,68,62,10,1,0,0,0
188,70,32,53,77,61,69,78,61,57,79,65,11,1,0,0,0
175,64,68,87,63,67,76,72,65,82,71,64,11,0,0,1,0
172,56,65,78,60,66,71,67,67,77,71,64,10,0,0,1,0
186,31,51,59,23,33,36,64,30,53,51,39,11,0,0,1,0
185,20,12,28,18,25,27,29,22,44,44,27,62,0,0,0,1
181,43,54,67,29,52,57,45,46,70,42,43,11,0,0,1,0
187,49,60,34,46,52,50,75,50,43,62,57,10,0,0,1,0
180,50,50,70,44,60,62,59,53,66,55,50,9,0,1,0,0
177,65,22,89,70,65,77,65,70,81,71,54,10,0,1,0,0
181,63,65,67,63,70,63,73,67,67,69,65,10,0,1,0,0
183,15,15,28,18,25,27,29,13,39,37,23,51,0,0,0,1
190,63,79,53,64,69,64,83,70,52,77,71,11,0,0,1,0
181,58,64,65,58,64,61,67,57,65,66,63,10,0,1,0,0
167,60,47,78,69,70,77,54,71,83,70,59,10,1,0,0,0
187,38,59,73,27,41,47,78,36,65,57,46,10,0,0,1,0
189,10,13,28,18,25,27,29,13,33,37,19,50,0,0,0,1
180,46,62,65,36,57,56,76,53,63,68,51,11,0,0,1,0
176,46,57,76,45,51,52,70,48,65,66,51,11,0,0,1,0
180,16,15,28,18,25,27,29,17,51,52,31,67,0,0,0,1
185,59,15,72,62,52,60,61,51,61,62,49,11,1,0,0,0
181,40,55,72,27,45,54,60,44,66,49,42,10,0,0,1,0
185,48,62,66,31,50,54,67,48,66,51,46,13,0,0,1,0
184,40,63,52,31,38,47,69,36,54,55,45,12,0,0,1,0
185,40,69,56,28,40,40,69,37,54,55,46,10,0,0,1,0
178,54,22,68,59,53,64,56,57,65,58,49,9,1,0,0,0
184,53,27,78,62,54,63,55,53,66,57,46,9,1,0,0,0
178,48,27,77,52,48,56,50,48,66,50,42,13,0,1,0,0
180,49,62,50,50,61,64,71,58,58,65,55,10,0,1,0,0
168,63,59,68,64,70,74,60,69,75,65,65,10,0,1,0,0
187,56,48,67,53,66,69,53,63,63,54,53,12,0,1,0,0
180,38,67,58,26,40,49,73,37,58,54,50,10,0,0,1,0
194,13,12,28,18,25,27,29,14,43,47,30,63,0,0,0,1
191,13,13,28,18,25,27,29,14,40,35,18,53,0,0,0,1
177,47,60,70,39,53,57,63,47,66,52,51,13,0,1,0,0
178,55,52,75,56,52,59,67,51,71,64,54,10,0,1,0,0
184,70,18,72,73,62,74,64,58,70,71,52,11,1,0,0,0
191,40,69,60,29,43,40,79,35,59,61,50,10,0,0,1,0
182,49,23,64,57,44,58,59,41,62,59,50,10,1,0,0,0
168,53,39,77,56,52,65,46,53,71,57,46,10,0,1,0,0
177,75,33,56,79,67,76,69,72,68,73,70,9,1,0,0,0
180,63,69,34,61,64,63,71,65,54,64,64,10,0,0,1,0
173,50,48,66,50,58,69,45,59,68,51,49,8,0,1,0,0
185,55,58,65,59,62,64,69,58,65,68,58,12,0,1,0,0
187,71,33,59,72,66,69,80,60,63,75,66,11,1,0,0,0
178,65,62,68,69,75,76,66,75,73,69,69,11,0,1,0,0
171,63,47,84,65,72,77,50,73,79,57,66,10,0,1,0,0
181,64,68,67,71,71,74,77,69,70,76,71,11,0,1,0,0
186,65,36,71,67,67,73,59,72,69,64,55,12,1,0,0,0
175,55,48,82,59,58,66,52,60,78,56,54,9,0,1,0,0
172,54,73,66,55,59,66,70,59,66,69,59,11,0,1,0,0
