,potential,age,height_cm,weight_kg,league_level,weak_foot,skill_moves,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,attacking_work_rate,defending_work_rate,overall
3432,72,32,189,86,1.0,3,2,1,45.0,61.0,66.0,62.0,71.0,79.0,57,54,73,73,53,62,51,72,73,70,38,50,46,71,34,75,71,75,84,67,74,70,58,60,62,68,71,72,72,9,13,14,9,16,5,5,72
12276,63,32,175,60,1.0,3,2,1,51.0,57.0,64.0,64.0,59.0,61.0,66,55,55,63,56,61,70,64,63,64,54,48,81,63,58,60,67,68,54,60,66,59,60,64,58,72,58,61,58,7,16,14,16,6,3,3,63
16795,69,20,191,79,2.0,3,2,1,71.0,25.0,39.0,39.0,59.0,62.0,43,23,64,48,26,35,26,25,38,41,65,75,48,45,47,32,70,60,70,20,40,56,21,29,31,38,58,62,55,8,12,7,7,15,3,3,58
688,78,34,191,85,1.0,2,2,2,42.0,46.0,60.0,56.0,78.0,85.0,36,41,84,72,37,51,46,41,77,64,43,42,40,73,45,74,87,74,90,30,85,76,39,58,51,71,76,81,72,16,15,10,7,14,1,5,78
6553,68,32,189,84,1.0,3,2,1,34.0,45.0,48.0,45.0,68.0,75.0,33,39,68,61,42,35,35,21,56,53,35,34,46,68,39,64,76,63,83,42,70,69,39,42,40,65,70,67,60,12,11,10,16,14,3,5,68
10672,72,25,188,87,1.0,2,2,1,56.0,35.0,40.0,45.0,64.0,74.0,30,35,64,56,31,35,30,31,31,58,53,59,42,57,48,46,73,65,84,22,62,62,32,34,43,52,61,68,66,10,14,14,13,13,3,3,65
12786,74,21,175,63,4.0,3,2,1,71.0,56.0,60.0,65.0,58.0,66.0,53,53,44,64,45,62,52,50,63,63,68,73,80,60,81,60,83,90,58,61,50,60,57,63,51,61,60,61,57,7,14,12,6,9,5,5,63
6992,74,24,189,81,1.0,3,3,1,82.0,67.0,61.0,69.0,35.0,71.0,59,67,59,64,58,68,62,65,57,69,82,82,81,67,57,68,83,82,72,69,52,47,65,61,72,64,25,32,29,10,11,13,9,7,5,1,68
11654,71,21,179,70,1.0,3,3,1,84.0,63.0,60.0,67.0,33.0,55.0,62,65,49,65,57,68,55,50,54,66,83,85,71,57,83,67,53,63,59,58,36,18,61,58,64,59,35,36,30,12,15,6,6,7,3,3,64
14360,69,21,175,74,3.0,3,2,1,83.0,57.0,57.0,65.0,29.0,63.0,61,56,51,63,51,67,56,32,46,60,84,83,74,66,76,59,63,71,59,54,63,23,64,59,63,54,27,29,28,15,6,9,13,15,3,3,62
5657,69,29,185,87,1.0,3,2,1,47.0,28.0,53.0,59.0,70.0,74.0,40,24,72,68,33,58,37,20,62,64,48,46,54,53,53,32,53,69,82,28,63,65,37,47,35,59,65,77,74,8,11,6,15,8,3,3,69
8977,66,32,185,80,1.0,3,2,1,63.0,37.0,58.0,58.0,64.0,74.0,64,33,65,59,43,54,61,45,58,62,55,70,60,65,51,41,75,71,77,36,72,67,56,55,41,62,65,61,60,15,12,14,14,6,3,3,66
7815,67,35,178,78,1.0,4,3,1,63.0,67.0,45.0,57.0,24.0,68.0,31,73,73,54,61,51,31,25,42,62,62,63,62,65,61,69,88,55,80,50,49,26,76,55,77,65,22,12,13,9,16,8,15,14,5,1,67
6304,70,26,177,76,1.0,3,3,1,76.0,60.0,63.0,69.0,64.0,66.0,68,62,59,67,41,68,61,28,64,69,76,76,74,65,83,61,67,76,65,63,57,64,62,60,37,57,64,66,62,7,9,11,15,9,3,3,69
9787,74,22,174,65,1.0,3,2,1,83.0,60.0,56.0,70.0,29.0,50.0,61,58,48,55,62,70,61,51,42,68,81,84,83,59,86,74,52,54,45,52,56,21,61,64,57,48,33,24,27,14,12,14,13,5,3,3,66
15145,75,19,193,90,4.0,3,2,1,67.0,59.0,44.0,58.0,28.0,73.0,30,59,61,54,56,56,54,41,22,62,64,69,61,58,53,63,71,65,79,54,66,24,61,53,58,58,22,25,25,8,7,6,13,12,3,3,61
16559,66,22,178,71,4.0,3,2,1,76.0,52.0,55.0,58.0,51.0,63.0,56,52,50,57,50,57,46,45,53,56,77,75,73,55,58,53,68,72,60,52,60,52,56,56,52,55,53,48,49,6,8,8,6,12,3,3,58
2059,74,33,183,77,1.0,3,2,2,67.0,63.0,66.0,62.0,73.0,80.0,74,53,69,67,63,57,81,65,70,69,68,67,55,68,70,79,81,70,83,73,85,70,43,49,64,66,77,73,71,12,14,6,14,9,3,3,74
6813,71,26,176,74,1.0,2,3,1,86.0,39.0,60.0,68.0,61.0,73.0,62,42,57,68,23,69,58,26,56,63,87,85,81,59,75,49,81,81,70,24,67,62,59,58,32,58,61,62,63,11,13,7,12,9,5,5,68
16042,63,22,173,61,1.0,3,2,1,78.0,44.0,49.0,58.0,53.0,63.0,55,40,42,51,40,57,47,36,41,53,77,78,76,56,78,48,61,67,66,47,49,52,50,49,41,51,57,53,49,7,9,12,10,9,5,3,59
7247,69,27,186,81,1.0,4,2,1,57.0,72.0,46.0,61.0,29.0,70.0,31,75,72,57,69,62,41,35,37,60,60,54,61,65,53,73,65,61,82,67,54,20,67,51,73,67,19,29,29,8,9,10,13,8,5,1,68
6251,69,32,177,72,1.0,3,3,1,66.0,58.0,71.0,70.0,60.0,63.0,72,54,55,74,41,70,65,55,68,72,67,65,63,65,70,68,62,80,58,58,54,57,61,70,75,72,63,62,56,14,15,9,9,8,1,3,69
19169,67,17,171,68,1.0,3,2,1,61.0,35.0,52.0,49.0,33.0,42.0,42,32,42,59,41,49,44,39,51,45,52,69,50,45,81,40,52,40,43,30,40,21,44,57,47,50,31,36,44,10,8,9,13,8,3,3,49
6777,68,33,183,76,1.0,3,2,1,34.0,55.0,59.0,61.0,68.0,74.0,45,54,69,70,42,55,54,38,64,66,32,36,67,64,64,51,86,66,76,68,76,65,40,58,60,70,69,70,67,10,7,8,7,15,3,5,68
11757,64,27,186,80,1.0,3,2,1,72.0,47.0,53.0,58.0,61.0,74.0,58,42,69,61,41,55,52,43,48,61,69,74,62,56,56,60,70,68,81,48,65,54,48,39,40,58,61,63,59,7,10,8,12,14,3,5,64
7604,67,29,193,85,1.0,3,2,1,45.0,48.0,54.0,46.0,66.0,75.0,39,41,77,64,22,41,46,54,61,52,39,49,40,60,34,69,80,62,85,58,67,64,34,47,31,63,64,66,64,15,13,14,12,10,3,5,67
13127,74,21,185,71,2.0,4,2,1,70.0,54.0,61.0,67.0,58.0,64.0,53,51,52,68,48,69,64,55,66,66,72,69,65,60,61,63,62,62,65,53,63,60,51,53,56,63,57,60,56,7,6,9,13,5,3,3,63
7652,67,30,182,79,1.0,3,3,1,72.0,69.0,60.0,66.0,41.0,68.0,59,70,63,61,65,66,63,54,60,67,71,72,70,64,70,69,70,67,72,66,59,33,67,60,69,58,45,39,25,7,16,7,9,14,3,1,67
16372,75,20,180,62,1.0,3,2,1,62.0,45.0,57.0,64.0,37.0,38.0,50,45,38,60,39,66,52,45,58,62,63,61,72,49,69,42,58,53,33,46,29,39,55,60,44,49,44,31,27,11,9,8,5,12,3,3,59
5070,70,25,176,78,1.0,3,2,1,44.0,57.0,66.0,69.0,71.0,68.0,56,41,66,69,46,67,74,75,65,74,45,44,66,71,70,72,60,78,71,76,51,66,61,67,74,69,74,77,60,14,8,15,8,18,3,3,70
14700,78,19,180,72,3.0,3,2,1,71.0,56.0,57.0,64.0,49.0,57.0,47,56,39,62,52,64,55,60,59,61,69,72,75,58,70,59,64,54,57,55,57,51,61,56,40,59,47,52,48,13,7,11,11,12,3,3,61
18028,58,24,174,68,1.0,2,3,1,63.0,46.0,51.0,52.0,23.0,60.0,48,46,33,50,36,49,43,32,48,53,67,60,56,38,77,49,55,70,68,39,29,20,67,66,50,44,25,20,26,11,14,8,8,6,3,3,55
1896,88,20,173,67,1.0,4,4,1,81.0,66.0,68.0,82.0,39.0,56.0,61,70,39,73,57,85,68,72,58,81,89,74,86,65,83,66,54,76,52,60,43,29,68,72,61,70,40,43,48,6,7,15,10,10,5,3,75
12830,69,23,177,77,3.0,4,3,1,81.0,47.0,59.0,66.0,44.0,59.0,57,43,40,66,34,63,44,40,63,64,82,80,83,56,83,58,67,72,59,44,43,45,51,55,52,55,43,44,46,10,9,8,8,15,3,1,63
11686,71,22,180,73,1.0,4,4,1,66.0,63.0,64.0,66.0,51.0,62.0,63,59,52,64,56,64,63,69,59,67,68,64,72,59,68,68,64,63,62,68,60,45,60,69,64,68,52,53,52,5,7,8,11,10,3,3,64
11440,70,23,173,64,3.0,2,3,1,76.0,58.0,60.0,68.0,55.0,57.0,54,58,45,64,40,65,52,41,63,64,77,76,91,61,89,58,81,74,53,62,42,57,63,65,49,62,55,59,53,9,16,10,8,12,5,3,64
3238,72,31,175,75,1.0,2,3,1,84.0,48.0,66.0,71.0,67.0,71.0,70,32,52,67,58,70,66,54,66,68,86,83,81,69,87,71,90,70,65,52,80,68,65,62,54,64,68,69,67,12,10,13,7,14,5,3,72
17480,66,20,178,75,4.0,3,2,1,80.0,56.0,50.0,60.0,39.0,43.0,41,57,44,55,51,59,52,50,48,58,77,82,70,53,68,54,60,49,42,58,36,43,56,52,50,57,33,40,37,5,12,8,13,10,3,3,56
1472,75,30,184,69,1.0,4,3,1,62.0,70.0,79.0,75.0,44.0,46.0,77,69,41,82,75,73,83,72,78,75,63,62,83,78,68,68,32,55,44,73,44,44,74,78,61,79,43,40,58,12,9,10,8,15,3,1,75
3649,75,26,178,69,1.0,3,3,1,81.0,36.0,60.0,67.0,67.0,67.0,70,28,57,67,34,66,60,39,54,68,75,85,72,68,71,48,79,68,67,35,65,65,55,47,46,59,65,70,73,7,7,9,12,14,3,3,72
14526,64,23,186,81,1.0,2,2,1,60.0,27.0,40.0,43.0,59.0,71.0,30,24,58,49,25,33,28,28,46,48,61,60,49,63,71,38,73,67,77,21,60,57,30,36,39,51,57,62,60,14,11,13,10,9,3,3,61
6805,68,29,181,79,1.0,3,2,1,61.0,28.0,49.0,56.0,67.0,75.0,35,20,68,63,26,51,32,25,61,59,64,59,57,66,65,53,83,70,78,21,74,67,25,38,36,66,65,68,65,14,14,10,12,9,1,3,68
6131,76,22,175,73,1.0,4,4,1,86.0,72.0,64.0,72.0,36.0,66.0,65,69,32,63,54,73,73,76,60,68,87,85,89,63,76,84,83,64,72,79,47,29,63,60,46,61,42,36,39,14,8,8,14,6,3,3,69
17941,66,21,174,70,2.0,3,2,1,56.0,42.0,55.0,53.0,45.0,58.0,55,36,51,59,38,49,44,43,55,50,58,54,61,56,82,57,64,67,53,38,59,44,57,53,50,49,41,45,52,15,11,13,9,12,3,3,55
692,78,30,173,72,1.0,3,4,2,73.0,72.0,76.0,83.0,42.0,66.0,74,70,67,76,62,84,77,78,74,82,75,71,89,75,85,78,87,70,67,72,51,46,73,80,79,78,36,41,25,7,12,7,14,13,5,3,78
9281,66,28,183,72,2.0,2,3,1,82.0,62.0,57.0,65.0,35.0,67.0,53,64,65,62,65,64,49,48,48,63,85,79,70,68,68,60,64,76,66,56,57,29,67,65,66,66,36,30,27,10,11,10,10,14,5,3,66
12785,64,26,174,63,1.0,3,3,1,74.0,55.0,62.0,63.0,48.0,50.0,61,50,48,66,50,61,64,65,58,66,74,74,70,50,71,60,52,59,46,62,47,49,58,57,55,48,46,48,47,10,6,12,13,12,3,3,63
12964,66,24,178,72,3.0,2,2,1,93.0,54.0,50.0,64.0,36.0,60.0,57,53,52,52,49,63,53,35,39,60,93,93,88,52,77,56,72,67,57,53,58,33,60,52,52,47,33,35,35,9,7,8,8,12,3,3,63
13082,79,19,171,60,1.0,3,3,1,79.0,48.0,55.0,72.0,31.0,34.0,54,50,47,57,44,73,46,44,52,64,87,73,91,68,90,54,68,34,29,39,38,21,50,58,45,54,33,28,42,13,13,5,6,6,3,5,63
1286,76,28,185,82,1.0,4,3,2,78.0,77.0,64.0,74.0,42.0,73.0,62,78,71,67,73,74,69,63,57,75,80,77,77,76,64,77,74,80,73,77,62,44,79,66,66,69,33,42,36,9,15,10,7,6,5,3,76
13561,66,24,188,85,4.0,2,2,1,72.0,24.0,44.0,53.0,60.0,73.0,31,21,62,53,20,53,35,22,45,49,71,73,61,57,57,27,78,69,77,25,68,59,35,47,31,55,60,61,61,10,7,10,10,13,5,3,62
17178,73,20,183,71,1.0,2,2,1,61.0,32.0,40.0,45.0,57.0,60.0,32,28,54,50,31,40,29,37,42,45,62,60,55,51,67,41,75,51,65,29,54,58,29,30,43,50,55,59,57,6,14,8,12,6,3,3,57
18072,66,18,186,74,3.0,2,2,1,65.0,44.0,54.0,58.0,42.0,56.0,33,42,43,61,35,56,47,42,62,58,66,65,64,53,60,54,52,45,62,40,54,29,52,61,43,58,35,54,53,9,8,14,13,14,3,3,55
15718,75,19,193,86,2.0,3,2,1,66.0,31.0,42.0,44.0,59.0,67.0,27,21,62,55,30,39,26,28,49,50,63,69,48,45,47,52,64,57,76,33,57,53,31,35,35,47,56,65,60,11,11,8,9,11,3,3,60
7479,67,39,178,73,1.0,3,3,1,44.0,64.0,73.0,68.0,55.0,56.0,75,61,47,72,62,70,76,75,70,71,49,39,64,61,63,67,68,34,64,70,59,58,63,74,63,59,59,51,53,7,10,15,9,7,3,3,67
17053,65,22,191,79,1.0,4,2,1,61.0,28.0,43.0,43.0,55.0,67.0,31,18,56,48,25,38,48,48,47,47,49,71,55,54,31,51,72,57,75,30,57,55,21,43,18,49,56,55,52,7,14,13,10,6,3,5,57
4507,75,24,179,74,1.0,2,2,1,75.0,59.0,67.0,70.0,66.0,72.0,70,52,58,71,51,70,67,65,65,68,74,76,79,65,77,72,80,76,67,65,79,64,63,61,42,68,66,68,70,7,9,10,7,11,5,3,71
1393,79,25,179,71,1.0,2,4,1,94.0,68.0,64.0,78.0,32.0,65.0,64,68,35,69,50,81,57,46,56,73,93,94,89,73,75,72,58,83,60,63,55,26,77,66,72,70,45,25,26,9,10,6,8,13,5,3,76
330,82,27,184,74,1.0,2,3,2,65.0,81.0,79.0,78.0,76.0,74.0,69,77,58,82,84,78,83,81,83,82,65,65,68,83,67,88,61,78,73,87,77,79,76,78,57,79,78,79,74,11,9,11,10,10,5,3,81
12216,80,17,185,85,3.0,3,2,1,67.0,27.0,50.0,58.0,63.0,69.0,35,23,61,61,34,57,39,29,52,55,65,68,64,58,62,32,72,66,73,24,60,62,36,54,46,60,63,65,63,9,10,11,8,7,5,3,64
15582,73,21,182,62,1.0,3,2,1,60.0,44.0,57.0,57.0,59.0,50.0,47,44,51,64,37,54,52,51,57,59,58,61,60,59,65,52,63,55,41,36,64,56,44,55,54,47,58,64,60,14,13,6,8,7,3,3,60
9225,66,32,175,60,1.0,3,2,1,73.0,54.0,66.0,64.0,61.0,51.0,68,52,52,70,45,59,57,55,63,64,70,75,80,64,72,56,51,62,43,56,59,65,65,66,47,59,65,59,57,9,10,9,12,7,3,3,66
7163,81,21,185,78,1.0,3,2,1,52.0,33.0,42.0,52.0,72.0,71.0,36,22,65,52,32,48,41,28,42,54,54,51,55,64,51,52,70,80,67,41,70,70,23,35,42,56,74,74,70,11,5,12,14,14,1,5,68
2686,73,27,172,75,1.0,3,3,1,92.0,51.0,62.0,73.0,67.0,69.0,67,40,59,67,60,71,70,28,52,71,93,92,90,69,83,73,92,66,67,51,74,67,64,60,38,68,66,71,70,7,15,7,11,11,5,3,73
18600,71,18,175,65,3.0,2,2,1,76.0,35.0,43.0,58.0,48.0,40.0,40,32,37,53,32,58,31,28,42,57,73,78,73,46,79,43,57,48,33,34,45,51,47,38,34,34,49,50,46,14,8,6,11,10,3,3,53
10314,73,24,188,80,1.0,3,3,1,63.0,57.0,61.0,64.0,62.0,73.0,52,50,52,67,50,65,57,40,64,64,64,63,66,60,63,75,70,73,78,57,63,58,54,61,57,62,64,66,62,13,9,7,10,14,3,3,65
9012,66,32,183,82,1.0,4,3,1,43.0,68.0,52.0,67.0,30.0,73.0,42,68,69,55,63,68,55,60,40,68,45,41,64,68,56,72,85,61,76,66,75,31,72,62,70,66,25,21,26,8,11,16,9,10,3,1,66
8866,66,29,174,69,1.0,4,3,1,64.0,61.0,62.0,68.0,60.0,73.0,59,59,54,66,63,64,46,48,62,65,66,63,84,66,86,66,84,85,67,62,70,64,62,66,46,67,56,63,60,13,13,11,14,6,5,5,66
16439,72,18,176,68,2.0,3,3,1,72.0,53.0,53.0,63.0,30.0,46.0,53,52,37,54,49,63,60,49,49,60,73,72,74,53,74,58,46,51,45,53,44,23,53,54,55,60,29,30,40,12,10,10,13,14,3,3,59
4248,76,23,185,70,1.0,3,3,1,64.0,68.0,70.0,72.0,44.0,51.0,64,68,53,73,58,73,68,71,68,73,61,66,69,66,69,68,48,54,51,73,48,33,68,73,64,70,45,46,52,8,13,7,14,8,3,1,71
18653,68,19,181,70,3.0,3,2,1,60.0,45.0,52.0,57.0,39.0,50.0,40,49,46,59,36,55,40,39,53,58,63,58,59,57,69,41,60,46,52,45,48,43,43,58,44,49,37,35,37,12,13,7,8,7,3,3,53
1304,79,27,183,80,1.0,2,2,1,75.0,54.0,63.0,64.0,77.0,76.0,64,53,74,70,51,59,57,32,68,67,73,76,68,73,69,59,80,71,77,55,77,77,45,55,50,70,76,79,80,11,6,12,9,14,3,3,76
11772,73,22,180,74,1.0,3,2,1,71.0,64.0,56.0,65.0,21.0,62.0,51,65,60,58,56,63,44,67,49,66,71,71,69,63,67,66,54,66,65,63,51,12,62,62,61,63,21,16,14,8,13,8,14,11,5,1,64
17977,55,32,178,76,1.0,2,2,1,67.0,55.0,51.0,55.0,26.0,68.0,55,54,60,50,62,54,53,56,52,55,68,67,62,45,61,63,79,53,74,47,71,17,55,48,55,49,27,20,27,13,7,9,7,9,5,3,55
8285,67,34,184,78,1.0,3,2,1,70.0,24.0,54.0,60.0,64.0,56.0,68,20,55,60,20,60,28,29,65,62,71,70,65,60,49,24,56,70,52,27,48,61,42,32,35,53,61,69,68,7,10,13,9,10,3,5,67
10044,65,27,173,67,1.0,3,4,1,86.0,63.0,57.0,69.0,37.0,62.0,59,61,62,60,60,67,70,44,47,66,87,86,82,65,85,68,80,65,60,65,57,53,62,55,52,62,36,21,29,9,12,13,8,6,5,3,65
7209,79,21,173,63,2.0,4,3,1,76.0,59.0,64.0,69.0,61.0,58.0,52,59,48,72,47,70,47,38,69,65,79,74,74,70,82,66,62,76,46,61,65,63,61,71,38,69,60,63,64,8,5,14,14,13,5,3,68
11554,72,22,185,71,1.0,3,3,1,66.0,61.0,45.0,64.0,29.0,68.0,34,66,65,56,46,64,45,33,42,66,65,66,66,58,58,66,70,64,74,48,56,18,69,44,60,58,22,32,24,9,7,5,8,6,5,3,64
9759,76,21,191,83,1.0,3,2,1,61.0,37.0,49.0,46.0,66.0,70.0,29,38,67,64,31,34,32,34,60,59,59,63,52,61,47,48,60,59,76,28,70,71,36,41,34,52,62,67,63,11,11,7,8,12,3,5,66
6088,70,27,193,85,2.0,4,2,1,65.0,69.0,45.0,64.0,27.0,71.0,39,70,67,52,72,65,50,31,34,71,64,65,53,70,41,76,48,64,85,60,49,24,70,48,66,61,20,22,25,10,11,14,13,9,3,3,69
15488,75,19,180,71,3.0,3,2,1,65.0,46.0,55.0,61.0,53.0,65.0,35,42,49,64,37,60,42,37,62,62,64,65,61,56,67,54,66,68,65,50,60,55,51,63,40,55,52,53,53,11,11,14,6,9,3,3,60
2915,81,23,173,77,1.0,3,3,1,78.0,74.0,72.0,77.0,30.0,72.0,65,76,59,76,65,80,53,70,72,76,79,78,77,72,75,75,70,78,76,75,55,16,71,75,66,71,44,19,18,5,11,12,8,7,3,1,73
14726,68,22,178,82,1.0,2,2,1,75.0,47.0,46.0,58.0,57.0,70.0,64,32,40,50,32,63,39,37,26,52,74,76,55,51,62,69,63,64,79,63,57,60,49,40,46,52,59,57,60,6,13,7,5,14,3,3,61
11190,64,30,178,81,1.0,3,2,1,80.0,62.0,57.0,68.0,36.0,59.0,62,58,52,55,55,69,59,60,61,63,77,83,85,60,79,68,58,68,61,63,45,34,61,50,71,45,44,27,24,9,7,7,16,7,3,3,64
9052,66,28,183,70,1.0,4,3,1,80.0,59.0,60.0,65.0,54.0,66.0,64,60,64,63,52,64,55,56,54,64,81,80,81,63,53,57,59,71,67,58,59,55,65,59,54,64,49,56,51,14,13,9,7,9,3,5,66
15372,68,22,192,80,4.0,2,2,1,53.0,25.0,41.0,42.0,60.0,73.0,32,20,60,48,31,38,37,27,43,44,52,54,41,56,49,36,53,66,83,21,63,58,33,39,35,49,60,60,59,9,12,7,9,9,1,3,60
8564,86,18,178,63,2.0,4,3,1,75.0,60.0,60.0,70.0,34.0,46.0,51,68,36,66,51,69,59,51,58,70,77,73,78,59,85,53,59,56,44,56,33,32,69,63,40,64,41,30,27,14,5,8,10,10,3,3,67
10027,68,27,184,77,1.0,3,2,1,32.0,32.0,39.0,44.0,67.0,69.0,36,27,59,46,31,31,30,36,44,59,31,33,37,59,61,42,70,64,73,29,65,65,33,27,50,56,69,70,68,12,11,12,15,7,3,3,65
9837,65,32,176,75,1.0,2,3,1,62.0,63.0,68.0,65.0,48.0,67.0,65,60,56,71,67,63,73,69,67,65,63,61,68,64,70,67,67,76,71,64,46,46,67,65,69,65,39,55,50,12,10,14,6,13,3,1,65
2658,73,28,191,78,1.0,3,3,1,54.0,74.0,57.0,69.0,32.0,76.0,30,75,82,69,72,69,69,44,53,71,55,53,71,68,49,79,63,60,85,65,77,39,78,65,74,76,23,23,25,15,14,8,14,11,3,1,73
4452,79,23,170,63,1.0,3,3,1,74.0,44.0,61.0,69.0,67.0,62.0,69,41,63,66,38,68,55,33,65,67,76,72,75,69,74,47,64,69,58,45,63,65,59,51,44,64,66,70,70,13,13,14,12,6,3,5,71
4991,70,35,184,84,1.0,2,2,1,40.0,34.0,49.0,48.0,69.0,77.0,29,15,72,67,24,40,25,24,66,56,32,47,48,63,35,61,82,50,90,55,78,61,22,35,40,62,69,72,68,10,11,10,14,6,1,5,70
13359,75,18,181,73,1.0,3,2,1,70.0,66.0,47.0,62.0,22.0,45.0,31,68,63,59,53,60,47,32,42,63,71,70,67,62,61,62,67,54,42,67,34,19,62,47,68,60,12,23,14,14,7,13,9,15,3,3,63
9830,65,33,176,67,3.0,3,3,1,88.0,63.0,60.0,68.0,42.0,62.0,63,63,55,61,58,65,50,56,56,64,86,90,88,64,82,67,69,68,67,62,41,38,64,61,57,61,41,43,36,12,16,15,10,10,5,3,65
6848,68,29,190,76,1.0,2,3,1,63.0,67.0,56.0,67.0,40.0,77.0,44,68,73,67,65,68,46,39,57,70,62,64,65,64,39,70,75,67,85,62,69,31,66,57,72,71,36,42,30,11,9,10,10,14,3,3,68
9302,73,22,187,83,1.0,2,2,1,61.0,28.0,43.0,46.0,64.0,74.0,35,21,68,57,35,35,29,27,45,55,60,62,55,64,57,43,74,66,80,21,68,63,34,32,39,47,58,69,62,7,8,8,9,11,1,3,66
8440,68,29,199,99,1.0,2,2,1,64.0,45.0,38.0,44.0,67.0,79.0,31,42,75,49,25,37,31,24,42,45,55,71,50,53,59,70,76,57,96,37,64,63,24,29,40,68,66,68,62,6,11,11,5,14,5,5,67
10473,65,26,178,77,1.0,3,3,1,87.0,57.0,60.0,64.0,45.0,63.0,65,54,58,64,48,62,61,60,48,65,84,89,68,60,73,68,75,67,63,56,54,49,60,57,59,63,43,41,44,8,9,12,12,12,3,3,65
7520,67,32,180,81,3.0,3,3,1,68.0,56.0,63.0,66.0,64.0,65.0,67,57,57,63,44,66,45,53,63,62,67,68,74,62,70,61,66,77,66,52,48,66,66,64,53,66,64,65,64,14,14,14,13,16,5,3,67
10811,65,31,184,74,1.0,3,3,1,82.0,44.0,54.0,58.0,60.0,68.0,55,44,53,61,50,61,45,47,51,52,80,83,66,57,68,46,57,74,71,42,54,58,42,48,42,48,60,64,61,9,11,6,8,10,3,3,65
5906,73,26,194,88,1.0,2,2,1,70.0,59.0,52.0,62.0,67.0,78.0,48,55,69,64,26,59,38,28,54,65,63,76,62,62,60,77,79,72,84,66,68,65,42,45,37,65,67,68,67,13,11,13,8,13,3,3,69
